County,Population
Alamance,179165
Alexander,36473
Alleghany,11342
Anson,21897
Ashe,27063
Avery,17561
Beaufort,44481
Bertie,16922
Bladen,29484
Brunswick,159964
Buncombe,275901
Burke,88338
Cabarrus,240016
Caldwell,80574
Camden,11137
Carteret,69615
Caswell,22807
Catawba,164645
Chatham,81624
Cherokee,29959
Chowan,13891
Clay,11864
Cleveland,101378
Columbus,50121
Craven,102391
Cumberland,337890
Currituck,31593
Dare,38110
Davidson,174804
Davie,44599
Duplin,49520
Durham,336892
Edgecombe,48832
Forsyth,392921
Franklin,77001
Gaston,237242
Gates,10343
Graham,8052
Granville,62192
Greene,20530
Guilford,549866
Halifax,47298
Harnett,141477
Haywood,62969
Henderson,119230
Hertford,19453
Hoke,54446
Hyde,4607
Iredell,199710
Jackson,44574
Johnston,241955
Jones,9401
Lee,67059
Lenoir,54895
Lincoln,95675
Macon,38412
Madison,22071
Martin,21447
Mcdowell,44893
Mecklenburg,1163701
Mitchell,14999
Montgomery,26085
Moore,106898
Nash,96551
New hanover,238852
Northampton,16715
Onslow,213676
Orange,150626
Pamlico,12423
Pasquotank,41444
Pender,68521
Perquimans,13377
Person,39737
Pitt,175119
Polk,20060
Randolph,147458
Richmond,42324
Robeson,117365
Rockingham,92518
Rowan,151661
Rutherford,65507
Sampson,59601
Scotland,34376
Stanly,65699
Stokes,45532
Surry,71462
Swain,13916
Transylvania,33549
Tyrrell,3461
Union,256452
Vance,42301
Wake,1190275
Warren,18836
Washington,10713
Watauga,54748
Wayne,118686
Wilkes,66013
Wilson,78970
Yadkin,37774
Yancey,18938
