County,FIPS
Camden,029
Gates,073
Iredell,097
Wilkes,193
Union,179
Cabarrus,025
Wake,183
Franklin,069
Pender,141
Durham,063
Orange,135
Chatham,037
Alamance,001
Harnett,085
Moore,125
Beaufort,013
Martin,117
Pitt,147
Greene,079
Wilson,195
Wayne,191
Anson,007
Lenoir,107
Robeson,155
Hoke,093
Johnston,101
Brunswick,019
Columbus,047
Bladen,017
Onslow,133
Sampson,163
Carteret,031
Duplin,061
Scotland,165
Richmond,153
Jones,103
Craven,049
Cumberland,051
Pamlico,137
Mecklenburg,119
Jackson,099
Transylvania,175
Hyde,095
Montgomery,123
Stanly,167
Gaston,071
Cleveland,045
Macon,113
Cherokee,039
Clay,043
Henderson,089
Rutherford,161
Polk,149
Dare,055
Lee,105
Graham,075
Haywood,087
Swain,173
Lincoln,109
Buncombe,021
Rowan,159
Davidson,057
Randolph,151
Mcdowell,111
Catawba,035
Burke,023
Tyrrell,177
Edgecombe,065
Washington,187
Nash,127
Madison,115
Yancey,199
Davie,059
Caldwell,027
Alexander,003
Bertie,015
Mitchell,121
Guilford,081
Avery,011
Forsyth,067
Chowan,041
Halifax,083
Granville,077
Perquimans,143
Yadkin,197
Currituck,053
Pasquotank,139
Watauga,189
Vance,181
Northampton,131
Warren,185
Person,145
Caswell,033
Rockingham,157
Surry,171
Hertford,091
Stokes,169
Ashe,009
Alleghany,005
New hanover,129
