County,FIPS,Population,Total,TotalVotersPerCapita,Week Ending,Democrats,Republicans,Libertarians,Green,NoLabels,Constitution,JusticeForAll,WeThePeople,Unaffiliated,White,Black,AmericanIndian,NativeHawaiian,Asian,Multiracial,Undesignated,Other,Hispanic,Male,Female,UnDisclosedGender
ALAMANCE,001,179165,112847,0.629849579996093,01/06/2024,37089,36421,696,24,36,0,0,0,38581,73450,23344,255,10,1056,671,9579,4482,5882,47057,57105,8685
ALEXANDER,003,36473,25191,0.6906752940531352,01/06/2024,4197,12190,116,3,17,0,0,0,8668,22087,965,35,1,152,37,1552,362,501,11424,12196,1571
ALLEGHANY,005,11342,7943,0.7003174043378593,01/06/2024,1774,3326,43,0,5,0,0,0,2795,7059,74,7,0,6,15,649,133,237,3539,3812,592
ANSON,007,21897,16206,0.7401013837511988,01/06/2024,8884,3119,57,1,9,0,0,0,4136,6851,6496,31,1,97,23,2523,184,141,6169,7449,2588
ASHE,009,27063,20097,0.7426005986032591,01/06/2024,3745,9192,102,2,10,0,0,0,7046,18506,112,25,2,51,19,1171,211,319,9057,9975,1065
AVERY,011,17561,12699,0.723136495643756,01/06/2024,1287,7283,64,1,8,0,0,0,4056,11532,59,19,0,24,20,929,116,114,5675,6223,801
BEAUFORT,013,44481,34281,0.7706886086194106,01/06/2024,10339,12810,137,3,13,0,0,0,10979,23954,7183,42,2,61,72,2262,705,678,14682,17240,2359
BERTIE,015,16922,12563,0.7424063349485877,01/06/2024,7671,1675,37,1,0,0,0,0,3179,4564,7094,20,1,32,17,769,66,54,5241,6557,765
BLADEN,017,29484,22510,0.7634649301315968,01/06/2024,9275,5453,89,2,5,0,0,0,7686,12639,7524,408,3,23,91,1322,500,600,9826,11591,1093
BRUNSWICK,019,159964,131186,0.8200970218299117,01/06/2024,27406,52904,702,18,59,0,0,0,50097,109144,8974,382,9,509,258,9739,2171,2068,55796,64578,10812
BUNCOMBE,021,275901,208461,0.7555644959605076,01/06/2024,73129,44823,1660,104,117,0,0,0,88628,173461,10182,339,45,1553,991,16444,5446,5371,88959,104293,15209
BURKE,023,88338,58663,0.6640743507890149,01/06/2024,12587,23461,355,7,19,0,0,0,22234,49045,3063,90,1,931,126,4077,1330,1378,25710,28680,4273
CABARRUS,025,240016,154055,0.641853043130458,01/06/2024,43602,51076,1219,61,154,0,0,0,57943,96886,31170,399,11,3462,748,14725,6654,7234,64572,75826,13657
CALDWELL,027,80574,53892,0.668850994117209,01/06/2024,9373,26571,373,5,25,0,0,0,17545,46171,2562,72,0,186,133,3834,934,1162,23895,26436,3561
CAMDEN,029,11137,8459,0.7595402711681781,01/06/2024,1422,3184,75,0,7,0,0,0,3771,6934,930,10,1,35,18,383,148,62,3868,4157,434
CARTERET,031,69615,56615,0.8132586367880486,01/06/2024,9417,25969,361,5,33,0,0,0,20830,48960,2238,103,7,294,136,4136,741,746,24552,27799,4264
CASWELL,033,22807,15191,0.6660674354364888,01/06/2024,5982,4243,62,2,5,0,0,0,4897,9399,4545,22,1,30,49,933,212,233,6650,7591,950
CATAWBA,035,164645,111916,0.6797412615020195,01/06/2024,20242,48329,679,18,111,0,0,0,42537,87008,8720,144,4,2512,346,8718,4464,4940,48847,54407,8662
CHATHAM,037,81624,60748,0.7442418896403019,01/06/2024,21114,14320,336,11,37,0,0,0,24930,44672,5877,124,3,1058,258,6804,1952,2327,25060,29159,6529
CHEROKEE,039,29959,23319,0.7783637638105411,01/06/2024,3365,11904,151,1,8,0,0,0,7890,21716,247,123,1,87,32,883,230,243,11001,11837,481
CHOWAN,041,13891,10332,0.743790943776546,01/06/2024,3652,3136,44,0,6,0,0,0,3494,6721,2859,13,5,15,27,582,110,86,4469,5484,379
CLAY,043,11864,9818,0.8275455158462576,01/06/2024,1399,4776,60,0,2,0,0,0,3581,9217,43,16,0,17,9,439,77,92,4487,4924,407
CLEVELAND,045,101378,67534,0.6661603109155833,01/06/2024,19871,25958,407,11,36,0,0,0,21251,47065,13259,89,4,313,218,5465,1121,1061,28787,33398,5349
COLUMBUS,047,50121,36444,0.7271203687077273,01/06/2024,14106,10801,115,5,4,0,0,0,11413,22073,10267,949,4,63,85,2418,585,550,15633,18526,2285
CRAVEN,049,102391,75770,0.7400064458790323,01/06/2024,20025,28092,596,19,79,0,0,0,26959,52850,14175,178,8,1171,293,4794,2301,2171,32507,38558,4705
CUMBERLAND,051,337890,212264,0.6282044452336559,01/06/2024,86991,48721,1832,66,200,0,0,0,74454,85980,84590,2347,66,3396,2060,20886,12939,13624,85370,106346,20548
CURRITUCK,053,31593,23881,0.7558952932611654,01/06/2024,3394,10060,215,4,18,0,0,0,10190,20723,1187,46,3,104,75,1309,434,239,10975,11621,1285
DARE,055,38110,33300,0.8737864077669902,01/06/2024,7560,11433,261,11,18,0,0,0,14017,30109,552,37,1,128,62,1826,585,357,15006,16503,1791
DAVIDSON,057,174804,115509,0.660791515068305,01/06/2024,21337,55685,701,17,102,0,0,0,37667,91804,10638,239,7,838,266,8888,2829,3217,50123,56827,8559
DAVIE,059,44599,32607,0.7311150474225879,01/06/2024,4700,16551,162,10,40,0,0,0,11144,27445,1930,46,0,143,80,2309,654,877,14482,16110,2015
DUPLIN,061,49520,31562,0.6373586429725363,01/06/2024,10792,9899,137,8,24,0,0,0,10702,18406,8139,70,1,69,134,3132,1611,2415,13397,15663,2502
DURHAM,063,336892,234366,0.6956710162307208,01/06/2024,124745,23353,1192,70,196,0,0,0,84810,113481,73007,570,33,8518,2673,26337,9747,11569,92672,117645,24049
EDGECOMBE,065,48832,34178,0.6999098951507209,01/06/2024,20501,6592,106,3,27,0,0,0,6949,11988,19257,59,2,47,113,2127,585,608,13875,18202,2101
FORSYTH,067,392921,262472,0.6680019647715444,01/06/2024,97190,70652,1690,74,191,0,0,0,92675,158292,64875,506,30,3341,1510,23692,10226,13365,107618,132574,22280
FRANKLIN,069,77001,51884,0.67380943104635,01/06/2024,16828,16201,391,7,38,0,0,0,18419,32860,12007,141,3,303,187,4715,1668,1905,21738,24948,5198
GASTON,071,237242,155666,0.6561485740298936,01/06/2024,40532,60181,1179,28,176,0,0,0,53570,108140,27345,330,4,1333,667,12639,5208,5922,66281,77987,11398
GATES,073,10343,8196,0.7924199941989751,01/06/2024,3445,2085,38,2,4,0,0,0,2622,5085,2447,16,0,11,40,514,83,53,3574,4077,545
GRAHAM,075,8052,6100,0.7575757575757576,01/06/2024,1105,3067,32,0,1,0,0,0,1895,5536,10,262,1,19,5,229,38,37,2852,3040,208
GRANVILLE,077,62192,40433,0.6501318497555956,01/06/2024,15963,10966,223,6,43,0,0,0,13232,23049,11445,78,3,179,189,4255,1235,1177,16419,19037,4977
GREENE,079,20530,10953,0.5335119337554798,01/06/2024,4869,2528,28,1,11,0,0,0,3516,5974,3774,12,0,18,24,679,472,518,4736,5649,568
GUILFORD,081,549866,375276,0.6824862784751194,01/06/2024,154923,88297,2210,85,214,0,0,0,129547,192890,124612,948,27,9601,2670,30261,14267,13940,157309,196219,21748
HALIFAX,083,47298,35726,0.7553384921138314,01/06/2024,20394,4863,98,2,33,0,0,0,10336,13679,18352,1038,5,173,137,1940,402,310,15256,18585,1885
HARNETT,085,141477,86163,0.60902478848152,01/06/2024,24063,30875,802,30,99,0,0,0,30294,53310,17605,472,16,655,513,9032,4560,5422,35930,42095,8138
HAYWOOD,087,62969,46092,0.7319792278740332,01/06/2024,12097,16226,314,13,19,0,0,0,17423,42521,473,115,0,155,97,2200,531,619,20792,23604,1696
HENDERSON,089,119230,89316,0.7491067684307641,01/06/2024,17236,32078,624,27,64,0,0,0,39287,77534,2389,146,10,529,389,5917,2402,2927,38340,45532,5444
HERTFORD,091,19453,13775,0.708116999948594,01/06/2024,8817,1555,38,1,7,0,0,0,3357,4464,8291,94,2,40,57,685,142,99,5700,7436,639
HOKE,093,54446,33552,0.6162436175292951,01/06/2024,13811,7418,313,15,18,0,0,0,11977,13189,12668,1965,16,343,256,2778,2337,2443,14545,17378,1629
HYDE,095,4607,3173,0.6887345344041675,01/06/2024,1363,680,16,0,0,0,0,0,1114,2378,569,0,0,1,8,175,42,65,1409,1600,164
IREDELL,097,199710,137679,0.6893946222021932,01/06/2024,27353,56760,899,26,94,0,0,0,52547,107107,14789,224,5,1487,453,9541,4073,4796,60707,67347,9625
JACKSON,099,44574,29742,0.6672499663480953,01/06/2024,8466,8443,255,15,9,0,0,0,12554,24384,623,1548,6,241,185,2132,623,750,12956,14573,2213
JOHNSTON,101,241955,154291,0.6376846934347296,01/06/2024,39925,57118,1225,48,228,0,0,0,55747,103714,25709,426,17,937,648,16274,6566,8697,66731,76969,10591
JONES,103,9401,7160,0.7616211041378577,01/06/2024,2495,2325,36,0,8,0,0,0,2296,4437,2043,12,1,19,23,530,95,105,3081,3539,540
LEE,105,67059,39505,0.5891080988383364,01/06/2024,12488,11994,284,8,29,0,0,0,14702,25365,7333,140,6,254,272,3752,2383,3433,16571,19807,3127
LENOIR,107,54895,38069,0.6934875671736952,01/06/2024,16474,10500,151,12,60,0,0,0,10872,18903,14713,64,7,102,126,3335,819,876,15405,19305,3359
LINCOLN,109,95675,67695,0.7075516070028743,01/06/2024,11800,32037,428,15,52,0,0,0,23363,57036,3648,87,2,323,152,4793,1654,2136,30122,32684,4889
MACON,113,38412,28153,0.7329220035405603,01/06/2024,4978,12410,192,3,4,0,0,0,10566,25789,197,63,0,116,63,1426,499,559,13023,14652,478
MADISON,115,22071,16968,0.768791627021884,01/06/2024,4972,4787,120,10,14,0,0,0,7065,15261,128,26,0,47,45,1268,193,191,7453,8058,1457
MARTIN,117,21447,16013,0.7466312304751247,01/06/2024,7645,3511,52,2,2,0,0,0,4801,8569,6284,28,0,25,53,850,204,194,6700,8477,836
MCDOWELL,111,44893,29935,0.6668077428552336,01/06/2024,5612,13093,183,6,25,0,0,0,11016,27100,826,36,1,138,127,1134,573,636,13580,15038,1317
MECKLENBURG,119,1163701,782867,0.6727389595781047,01/06/2024,322496,155158,5936,235,740,0,0,0,298302,402047,238929,2047,60,22338,5135,71075,41236,44786,328647,395050,59170
MITCHELL,121,14999,11216,0.747783185545703,01/06/2024,1048,6485,44,3,5,0,0,0,3631,10087,41,12,1,13,14,957,91,145,4972,5462,782
MONTGOMERY,123,26085,17063,0.654130726471152,01/06/2024,5081,6284,86,2,9,0,0,0,5601,11935,2968,46,0,184,45,1265,620,827,7511,8469,1083
MOORE,125,106898,75404,0.705382701266628,01/06/2024,15107,31113,629,14,36,0,0,0,28505,60610,7469,351,6,631,230,3931,2176,1824,33103,38887,3414
NASH,127,96551,67440,0.6984909529678616,01/06/2024,28386,19408,309,7,60,0,0,0,19270,34043,26127,348,4,336,283,4430,1869,1842,28422,34749,4269
NEW HANOVER,129,238852,180686,0.7564768140940834,01/06/2024,50680,53863,1483,46,108,0,0,0,74506,138606,19096,390,14,1454,854,15924,4348,4173,74901,88203,17582
NORTHAMPTON,131,16715,12808,0.7662578522285373,01/06/2024,7784,1597,40,4,10,0,0,0,3373,5097,7002,35,0,7,21,560,86,66,5564,6611,633
ONSLOW,133,213676,125157,0.5857326045040154,01/06/2024,24279,47661,1823,32,143,0,0,0,51219,85227,19021,467,32,1735,830,11260,6585,7765,53485,61735,9937
ORANGE,135,150626,109221,0.725113858165257,01/06/2024,50755,13312,564,29,41,0,0,0,44520,75762,11554,234,1,5141,1037,11372,4120,4340,44854,53293,11074
PAMLICO,137,12423,10202,0.8212187072365773,01/06/2024,2814,4090,60,5,3,0,0,0,3230,7945,1435,26,0,39,16,635,106,113,4532,5091,579
PASQUOTANK,139,41444,29983,0.723458160409227,01/06/2024,11007,7632,220,7,20,0,0,0,11097,16920,9944,40,2,158,170,2073,676,432,12839,15099,2045
PENDER,141,68521,48734,0.7112272150143751,01/06/2024,10837,19537,422,12,44,0,0,0,17882,37470,5756,125,5,216,149,3811,1202,1319,21272,23605,3857
PERQUIMANS,143,13377,10217,0.7637736413246617,01/06/2024,2918,3544,57,2,8,0,0,0,3688,7555,1964,19,2,20,25,530,102,62,4488,5169,560
PERSON,145,39737,27686,0.6967310063668621,01/06/2024,9479,8191,128,7,17,0,0,0,9864,18005,6891,117,3,58,102,1985,525,526,11917,13913,1856
PITT,147,175119,122480,0.6994101154072374,01/06/2024,48335,30849,790,32,106,0,0,0,42368,65205,40550,248,8,1062,707,10315,4385,3516,49482,61924,11074
POLK,149,20060,16503,0.8226819541375873,01/06/2024,3597,6173,113,3,9,0,0,0,6608,14630,582,9,2,50,36,935,259,299,7320,8660,523
RANDOLPH,151,147458,95301,0.6462925036281517,01/06/2024,14933,49647,603,7,60,0,0,0,30051,77737,6041,309,6,705,218,6768,3517,3962,42194,47115,5992
RICHMOND,153,42324,28526,0.6739911161515925,01/06/2024,11876,7570,132,6,25,0,0,0,8917,16785,8844,418,0,156,60,1465,798,617,12495,14732,1299
ROBESON,155,117365,72418,0.6170323350232182,01/06/2024,34903,13550,239,8,69,0,0,0,23649,20223,18915,24958,18,299,455,4664,2886,2218,31028,38652,2738
ROCKINGHAM,157,92518,61458,0.6642815452128235,01/06/2024,17536,24337,333,14,36,0,0,0,19202,42980,11061,101,0,213,170,5739,1194,1282,27366,32054,2038
ROWAN,159,151661,97107,0.6402898569836675,01/06/2024,22412,41578,628,16,109,0,0,0,32364,70701,15292,181,6,507,342,7367,2711,3170,41957,47826,7324
RUTHERFORD,161,65507,46444,0.708992932053063,01/06/2024,9871,20046,257,6,28,0,0,0,16236,37787,3975,55,0,134,118,3502,873,928,20088,23114,3242
SAMPSON,163,59601,37937,0.6365161658361437,01/06/2024,12622,15416,177,2,37,0,0,0,9683,22094,9958,532,0,93,128,2962,2170,2883,16449,19551,1937
SCOTLAND,165,34376,21593,0.6281417267861299,01/06/2024,9920,4631,74,6,20,0,0,0,6942,9690,8094,1708,10,163,86,1578,264,226,8878,11241,1474
STANLY,167,65699,44244,0.6734349076850484,01/06/2024,8433,21079,216,19,68,0,0,0,14429,34183,4556,80,3,429,66,4180,747,719,18719,21205,4320
STOKES,169,45532,32400,0.7115874549767197,01/06/2024,5209,16981,218,11,18,0,0,0,9963,27882,1181,51,1,62,78,2754,391,465,15419,16925,56
SURRY,171,71462,47756,0.6682712490554421,01/06/2024,9210,22305,241,15,31,0,0,0,15954,40574,1687,47,2,126,96,3776,1448,2144,21070,23607,3079
SWAIN,173,13916,9739,0.6998419085944236,01/06/2024,2765,3079,67,4,1,0,0,0,3823,7443,96,1530,1,35,30,487,117,80,4417,4926,396
TRANSYLVANIA,175,33549,26075,0.7772213776863692,01/06/2024,5683,8400,149,2,11,0,0,0,11830,23281,717,48,1,85,72,1567,304,257,11387,13176,1512
TYRRELL,177,3461,2256,0.6518347298468651,01/06/2024,999,450,8,0,0,0,0,0,799,1384,627,3,0,18,5,178,41,40,990,1082,184
UNION,179,256452,176300,0.687458081824279,01/06/2024,39782,69889,1174,41,136,0,0,0,65278,123642,19754,516,10,4085,784,19515,7994,8860,75668,84032,16600
VANCE,181,42301,28101,0.6643105363939387,01/06/2024,16085,4974,104,7,22,0,0,0,6909,11256,13934,56,1,91,104,1977,682,740,11534,14759,1808
WAKE,183,1190275,821753,0.6903891957740859,01/06/2024,287589,176557,6381,246,668,0,0,0,350312,504130,147105,2113,57,34009,5544,87512,41283,36137,346850,397884,77019
WARREN,185,18836,13150,0.6981312380547887,01/06/2024,7765,2273,43,1,11,0,0,0,3057,5434,6224,527,2,26,44,720,173,127,5636,6799,715
WASHINGTON,187,10713,7891,0.7365817231401102,01/06/2024,4533,1385,25,0,1,0,0,0,1947,3600,3722,9,0,18,16,444,82,63,3314,4158,419
WATAUGA,189,54748,44504,0.8128881420325856,01/06/2024,11386,12459,400,44,9,0,0,0,20206,38800,850,61,11,377,466,3155,784,1273,19178,22251,3075
WAYNE,191,118686,74603,0.6285745580776165,01/06/2024,26792,25559,443,15,126,0,0,0,21668,41424,23341,131,4,521,342,5262,3578,3191,31367,37701,5535
WILKES,193,66013,43800,0.6635056731249905,01/06/2024,6773,23981,206,5,20,0,0,0,12815,38317,1578,47,0,130,118,2839,771,958,19354,21428,3018
WILSON,195,78970,55216,0.6992022286944409,01/06/2024,24794,13926,245,9,55,0,0,0,16187,27049,21863,113,0,281,168,3746,1996,1925,23106,29019,3091
YADKIN,197,37774,24830,0.6573304389262455,01/06/2024,2963,14151,133,2,14,0,0,0,7567,21619,725,26,1,58,37,1618,746,996,11134,12158,1538
YANCEY,199,18938,14310,0.7556236138979829,01/06/2024,3734,5414,84,1,11,0,0,0,5066,13060,75,25,1,28,25,954,142,156,6443,7032,835
ALAMANCE,001,179165,113039,0.6309212178717941,01/13/2024,37115,36495,697,24,36,0,0,0,38672,73593,23378,257,10,1059,670,9571,4501,5894,47142,57217,8680
ALEXANDER,003,36473,25207,0.6911139747210265,01/13/2024,4196,12203,114,3,18,0,0,0,8673,22104,965,35,1,152,37,1551,362,501,11433,12202,1572
ALLEGHANY,005,11342,7940,0.7000529007229765,01/13/2024,1767,3327,43,0,6,0,0,0,2797,7056,74,7,0,6,15,648,134,238,3537,3812,591
ANSON,007,21897,16218,0.740649404027949,01/13/2024,8885,3126,57,1,9,0,0,0,4140,6862,6497,32,1,97,22,2523,184,141,6170,7457,2591
ASHE,009,27063,20220,0.7471455492739164,01/13/2024,3749,9248,103,2,10,0,0,0,7108,18619,115,25,2,51,19,1169,220,330,9112,10043,1065
AVERY,011,17561,12798,0.7287739878139058,01/13/2024,1292,7341,64,1,8,0,0,0,4092,11625,61,19,0,25,19,929,120,117,5718,6277,803
BEAUFORT,013,44481,34304,0.7712056833254648,01/13/2024,10346,12820,137,3,14,0,0,0,10984,23968,7191,42,2,60,72,2262,707,681,14696,17250,2358
BERTIE,015,16922,12648,0.7474293818697554,01/13/2024,7692,1691,37,1,0,0,0,0,3227,4591,7125,20,1,32,18,794,67,55,5267,6590,791
BLADEN,017,29484,22654,0.7683489350156016,01/13/2024,9280,5480,89,2,7,0,0,0,7796,12686,7557,408,3,24,94,1370,512,617,9870,11647,1137
BRUNSWICK,019,159964,131497,0.8220412092720862,01/13/2024,27425,53033,705,18,62,0,0,0,50254,109412,9001,383,9,512,259,9728,2193,2087,55942,64739,10816
BUNCOMBE,021,275901,208505,0.7557239734542462,01/13/2024,73066,44811,1664,106,127,0,0,0,88731,173502,10187,341,45,1553,990,16433,5454,5379,88989,104298,15218
BURKE,023,88338,58874,0.6664629038465892,01/13/2024,12591,23554,356,7,20,0,0,0,22346,49207,3068,91,1,939,126,4072,1370,1410,25817,28788,4269
CABARRUS,025,240016,155319,0.6471193587094194,01/13/2024,43819,51405,1229,64,163,0,0,0,58639,97655,31426,402,10,3534,748,14725,6819,7360,65208,76446,13665
CALDWELL,027,80574,53835,0.6681435698860675,01/13/2024,9357,26535,374,5,27,0,0,0,17537,46104,2562,73,0,186,133,3840,937,1163,23864,26407,3564
CAMDEN,029,11137,8528,0.7657358355032774,01/13/2024,1420,3219,76,0,8,0,0,0,3805,6994,936,10,1,35,18,383,151,63,3903,4192,433
CARTERET,031,69615,56652,0.8137901314371903,01/13/2024,9414,26000,361,5,32,0,0,0,20840,48997,2238,103,7,295,136,4132,744,748,24566,27817,4269
CASWELL,033,22807,15214,0.6670758977506905,01/13/2024,5979,4251,63,2,5,0,0,0,4914,9417,4548,22,1,30,49,935,212,234,6660,7602,952
CATAWBA,035,164645,111936,0.6798627349752497,01/13/2024,20222,48325,680,18,114,0,0,0,42577,87019,8725,145,4,2514,346,8715,4468,4946,48862,54411,8663
CHATHAM,037,81624,60800,0.74487895716946,01/13/2024,21115,14328,334,11,37,0,0,0,24975,44720,5879,124,3,1059,258,6797,1960,2332,25084,29189,6527
CHEROKEE,039,29959,23333,0.778831069127808,01/13/2024,3362,11918,151,1,8,0,0,0,7893,21729,247,123,1,88,32,882,231,244,11010,11842,481
CHOWAN,041,13891,10393,0.7481822762940034,01/13/2024,3658,3160,44,0,6,0,0,0,3525,6763,2870,13,5,16,27,585,114,89,4500,5512,381
CLAY,043,11864,9833,0.8288098449089684,01/13/2024,1402,4779,61,0,2,0,0,0,3589,9234,42,16,0,17,9,439,76,91,4493,4934,406
CLEVELAND,045,101378,67798,0.6687644262068694,01/13/2024,19902,26055,408,12,37,0,0,0,21384,47259,13297,90,4,317,218,5469,1144,1073,28918,33526,5354
COLUMBUS,047,50121,36511,0.728457133736358,01/13/2024,14116,10831,114,4,5,0,0,0,11441,22113,10282,951,4,63,85,2414,599,562,15665,18564,2282
CRAVEN,049,102391,76316,0.7453389458057837,01/13/2024,20063,28263,598,20,83,0,0,0,27289,53183,14239,179,8,1181,293,4891,2342,2197,32722,38791,4803
